element_id,el_vol
132, 2.02611776245476e-08
133, 2.02668974935705e-08
134, 2.02610532795688e-08
135, 2.02752570288567e-08
136, 2.02567171925239e-08
137, 2.0251395227433e-08
138, 2.02623429146342e-08
139, 2.02859595788141e-08
140, 2.0269114386906e-08
141, 2.02617389533088e-08
142, 2.02559480300124e-08
143, 2.02493364298562e-08
144, 2.02473113830592e-08
145, 2.02589092168637e-08
146, 2.02695993323232e-08
147, 2.02524308434704e-08
148, 2.02501819757117e-08
149, 2.02624246270489e-08
150, 2.02814440797283e-08
151, 2.02631245116436e-08
152, 2.02563246176624e-08
153, 2.02356602585496e-08
154, 2.02499919055299e-08
155, 2.02324628162387e-08
156, 2.02515302305528e-08
157, 2.02708552166087e-08
158, 2.02542764782265e-08
159, 2.02392200776558e-08
160, 2.02399448312462e-08
161, 2.02494536694076e-08
162, 2.02555447970099e-08
163, 2.02415915140364e-08
164, 2.02217353972856e-08
165, 2.02452952180465e-08
166, 2.02452685726939e-08
167, 2.02411847283201e-08
168, 2.02517078662368e-08
169, 2.02593763987124e-08
170, 2.02521235337372e-08
171, 2.02651726510794e-08
172, 2.02677448157829e-08
173, 2.02788719150249e-08
174, 2.0267986400313e-08
175, 2.0260598532218e-08
176, 2.02474712551748e-08
177, 2.02719849795585e-08
178, 2.02486241107636e-08
179, 2.02438457108656e-08
180, 2.02547543182163e-08
181, 2.02629841794533e-08
182, 2.02823287054343e-08
183, 2.02733545506817e-08
184, 2.02813303928906e-08
185, 2.02805789939475e-08
186, 2.02764134371591e-08
187, 2.02625862755212e-08
188, 2.02607051136283e-08
189, 2.02544629956947e-08
190, 2.02517203007346e-08
191, 2.02624441669741e-08
192, 2.02682723937642e-08
193, 2.02815275684998e-08
194, 2.02864338660902e-08
195, 2.02808294602619e-08
196, 2.0288903002097e-08
197, 2.02748164923605e-08
198, 2.02689207640105e-08
199, 2.02471603927279e-08
200, 2.0251583521258e-08
201, 2.02530561210779e-08
202, 2.02627816747736e-08
203, 2.02733598797522e-08
204, 2.02684322658797e-08
205, 2.02721714970266e-08
206, 2.02826058171013e-08
207, 2.02808383420461e-08
208, 2.02794776527071e-08
209, 2.02570173968297e-08
210, 2.02497929535639e-08
211, 2.02599466092579e-08
212, 2.02674499405475e-08
213, 2.02577563612749e-08
214, 2.02424512707466e-08
215, 2.02524930159598e-08
216, 2.02774064206324e-08
217, 2.02805985338728e-08
218, 2.0267190592449e-08
219, 2.02745056299136e-08
220, 2.02629397705323e-08
221, 2.02500558543761e-08
222, 2.02572731922146e-08
223, 2.02678105409859e-08
224, 2.0259292909941e-08
225, 2.02614991451355e-08
226, 2.02593124498662e-08
227, 2.02688656969485e-08
228, 2.02727292730742e-08
229, 2.02704555363198e-08
230, 2.0274899981132e-08
231, 2.02613552602315e-08
232, 2.02738839050198e-08
233, 2.0260454647314e-08
234, 2.02659879988687e-08
235, 2.02596819320888e-08
236, 2.02785201963707e-08
237, 2.02826324624539e-08
238, 2.02804653071098e-08
239, 2.02706704754974e-08
240, 2.02474712551748e-08
241, 2.02663468229503e-08
242, 2.02644425684184e-08
243, 2.02704342200377e-08
244, 2.02782786118405e-08
245, 2.0268617006991e-08
246, 2.0263684064048e-08
247, 2.02646095459613e-08
248, 2.02441139407483e-08
249, 2.027621626155e-08
250, 2.0263307476398e-08
251, 2.02661905035484e-08
252, 2.02706331720037e-08
253, 2.02808880800376e-08
254, 2.0280374712911e-08
255, 2.02712442387565e-08
256, 2.02849275154904e-08
257, 2.02681320615739e-08
258, 2.02522478787159e-08
259, 2.02483914080176e-08
260, 2.02796019976859e-08
261, 2.02592858045136e-08
262, 2.02775911617437e-08
263, 2.02644763191984e-08
264, 2.02755643385899e-08
265, 2.02676950777914e-08
266, 2.02665368931321e-08
267, 2.02686933903351e-08
268, 2.02682990391168e-08
269, 2.0244570464456e-08
270, 2.02617407296657e-08
271, 2.02650483061007e-08
272, 2.02539247595723e-08
273, 2.02607051136283e-08
274, 2.02592698173021e-08
275, 2.02539816029912e-08
276, 2.02189038844836e-08
277, 2.02353600542438e-08
278, 2.02481249544917e-08
279, 2.02564667262095e-08
280, 2.02467820287211e-08
281, 2.02547223437932e-08
282, 2.02538945615061e-08
283, 2.02437835383762e-08
