time,x,y
35.8,0.011236632,198.47
35.9,0.011730923,200.61
36.0,0.01212618,202.98
36.1,0.012620031,205.37
36.2,0.012916225,206.37
36.3,0.013311014,208.53
36.4,0.013705647,209.51
36.5,0.013902905,209.8
36.6,0.014198719,211.01
36.7,0.01439588,211.73
36.8,0.014593002,212.24
36.9,0.014691549,211.79
37.0,0.014790085,210.41
37.1,0.014790085,209.98
37.2,0.014888612,209.54
37.3,0.014790085,207.22
37.4,0.014790085,204.46
37.5,0.014790085,201.94
37.6,0.014790085,198.5
37.7,0.014691549,194.32
37.8,0.014691549,187.89
37.9,0.014593002,180.51
38.0,0.014494446,172.03
38.1,0.01439588,162.83
38.2,0.014297305,152.23
38.3,0.014100124,140.04
38.4,0.01400152,126.72
38.5,0.013804281,113.39
38.6,0.013705647,98.89
38.7,0.01350835,81.91
38.8,0.013311014,63.55
38.9,0.013014937,44.93
39.0,0.012817504,26.15
39.1,0.012620031,6.41
39.2,0.01232375,-12.82
39.3,0.01202738,-31.14
39.4,0.011730923,-49.03
39.5,0.01133551,-67.07
39.6,0.010841023,-85.34
39.7,0.010346292,-102.24
39.8,0.009851316,-117.94
39.9,0.009257021,-131.83
40.0,0.008563231,-144.29
40.1,0.00796817,-154.94
40.2,0.007273484,-164.38
40.3,0.006578315,-172.49
40.4,0.005982072,-179.43
40.5,0.005286004,-185.67
40.6,0.004688989,-190.36
40.7,0.004091618,-194.54
40.8,0.003493889,-198.75
40.9,0.003095205,-201.41
41.0,0.002596626,-204.04
41.1,0.002197584,-205.97
41.2,0.001798382,-207.49
41.3,0.001498876,-208.77
41.4,0.001199281,-210.09
41.5,0.000899595,-211.16
41.6,0.000699755,-211.58
41.7,0.000499875,-211.96
41.8,0.000299955,-212.62
41.9,0.00019998,-212.36
42.0,9.9995e-05,-212.79
42.1,1e-05,-211.43
42.2,1e-05,-209.84
42.3,1e-05,-209.16
42.4,1e-05,-208.25
42.5,1e-05,-205.06
42.6,9.9995e-05,-202.15
42.7,9.9995e-05,-197.87
42.8,0.00019998,-191.52
42.9,0.00019998,-184.3
43.0,0.000299955,-176.61
43.1,0.00039992,-166.65
43.2,0.000499875,-155.59
43.3,0.00059982,-144.74
43.4,0.00079968,-131.85
43.5,0.000899595,-117.6
43.6,0.001099395,-102.64
43.7,0.001299156,-87.05
43.8,0.001399021,-72.32
43.9,0.001598721,-55.08
44.0,0.001798382,-37.63
44.1,0.002097798,-18.61
44.2,0.002297359,1.13
44.3,0.002596626,21.1
44.4,0.002895803,40.86
44.5,0.003294567,60.86
44.6,0.003792798,80.87
44.7,0.004191205,98.88
44.8,0.004688989,114.63
44.9,0.005286004,129.24
45.0,0.005882663,142.09
45.1,0.006578315,153.58
45.2,0.007273484,163.49
45.3,0.007868958,170.89
45.4,0.009257021,184.12
45.5,0.009257021,184.12
45.6,0.009851316,189.05
45.7,0.010544214,193.76
45.8,0.011038847,196.82
45.9,0.01212618,202.98
46.0,0.01212618,202.98
46.1,0.012620031,204.94
46.2,0.013014937,206.85
46.3,0.013409687,208.3
46.4,0.01400152,210.25
46.5,0.01400152,210.25
46.6,0.014198719,210.54
46.7,0.01439588,211.26
46.8,0.014593002,211.52
46.9,0.014691549,210.18
47.0,0.014691549,210.18
47.1,0.014790085,209.27
47.2,0.014790085,208.58
47.3,0.014790085,206.54
47.4,0.014691549,200.52
47.5,0.014691549,200.52
47.6,0.014691549,196.4
47.7,0.014593002,191.78
47.8,0.014593002,185.36
47.9,0.01439588,170.4
48.0,0.01439588,170.4
48.1,0.014297305,161.66
48.2,0.014198719,151.75
48.3,0.014100124,140.5
48.4,0.013804281,115.43
48.5,0.013804281,115.43
48.6,0.013607003,100.49
48.7,0.01350835,84.21
48.8,0.013311014,66.74
48.9,0.012817504,30.27
49.0,0.012817504,30.27
49.1,0.012620031,10.53
49.2,0.01232375,-7.81
49.3,0.01202738,-24.73
49.4,0.01133551,-62.28
49.5,0.01133551,-62.28
49.6,0.01093994,-81.24
49.7,0.010445258,-98.82
49.8,0.009851316,-115.23
49.9,0.008662373,-142.92
50.0,0.008662373,-142.92
50.1,0.008067371,-153.81
50.2,0.007372754,-163.5
50.3,0.006677655,-171.83
50.4,0.005286004,-185.24
50.5,0.005286004,-185.24
50.6,0.004688989,-190.36
50.7,0.004091618,-194.54
50.8,0.003593536,-198.1
50.9,0.002596626,-204.71
51.0,0.002596626,-204.71
51.1,0.002197584,-206.44
51.2,0.001798382,-207.7
51.3,0.001498876,-209.02
51.4,0.000899595,-211.62
51.5,0.000899595,-211.62
51.6,0.000699755,-212.71
51.7,0.000499875,-212.67
51.8,0.000299955,-213.05
51.9,9.9995e-05,-212.33
52.0,9.9995e-05,-212.33
52.1,1e-05,-211.43
52.2,1e-05,-210.72
52.3,1e-05,-210.51
52.4,1e-05,-207.57
52.5,1e-05,-207.57
52.6,1e-05,-204.18
52.7,9.9995e-05,-199.88
52.8,9.9995e-05,-194.22
52.9,0.000299955,-179.09
53.0,0.000299955,-179.09
53.1,0.00039992,-169.62
53.2,0.000499875,-159.2
53.3,0.00059982,-147.68
53.4,0.000899595,-120.54
53.5,0.000899595,-120.54
53.6,0.001099395,-105.83
53.7,0.001199281,-89.98
53.8,0.001399021,-72.75
53.9,0.001598721,-56.22
54.0,0.001798382,-38.55
54.1,0.002097798,-19.28
54.2,0.002297359,-0.21
54.3,0.002596626,18.83
54.4,0.002895803,39.05
54.5,0.003294567,58.83
54.6,0.003693172,78.17
54.7,0.004191205,96.6
54.8,0.004688989,113.25
54.9,0.005286004,128.11
55.0,0.005882663,140.95
