time,x,y
142.36,6.064428085,0.118718851
142.38,6.101665113,0.119060717
142.4,6.139848845,0.119514348
142.42,6.176928089,0.120316418
142.44,6.215111821,0.120566244
142.46,6.254163365,0.121026448
142.48,6.294950533,0.121578694
142.5,6.334633214,0.122209831
142.52,6.376288194,0.122538549
142.54,6.415734199,0.123117092
142.56,6.452655659,0.123675912
142.58,6.489734903,0.124175562
142.6,6.5272875,0.124537151
142.62,6.565865692,0.125010505
142.64,6.604522777,0.125510155
142.66,6.644363242,0.126068975
142.68,6.682862543,0.126568626
142.7,6.722229656,0.127055128
142.72,6.75970336,0.127410143
142.74,6.797334849,0.127909793
142.76,6.835360798,0.128277957
142.78,6.871730015,0.128764459
142.8,6.90762588,0.129329853
142.82,6.944231772,0.130000437
142.84,6.981468801,0.130421195
142.86,7.019179183,0.130835379
142.88,7.05830962,0.131210117
142.9,7.097676733,0.131690045
142.92,7.136176035,0.1321371
142.94,7.174280876,0.132577582
142.96,7.212701286,0.133182422
142.98,7.251910615,0.133636052
143,7.292224433,0.134023939
143.02,7.332538251,0.134424974
143.04,7.372536501,0.134937774
143.06,7.410878019,0.135273066
143.08,7.449219537,0.135706973
143.1,7.486535459,0.136061988
143.12,7.523930273,0.136561638
143.14,7.563691847,0.136890356
143.16,7.604794585,0.137574088
143.18,7.645660648,0.138040867
143.2,7.685580007,0.138632559
143.22,7.726288285,0.139000722
143.24,7.765103156,0.139539819
143.26,7.80447027,0.139769921
143.28,7.844468521,0.140157808
143.3,7.88557126,0.140394485
143.32,7.927068459,0.140834966
143.34,7.96903901,0.141347765
143.36,8.00974729,0.141801395
143.38,8.048798836,0.142294472
143.4,8.089033764,0.14282042
143.42,8.128164203,0.143254327
143.44,8.166900182,0.143491004
143.46,8.206346189,0.143865741
143.48,8.246423332,0.144122141
143.5,8.283818147,0.14448373
143.52,8.322080775,0.145003104
143.54,8.360422294,0.145509329
143.56,8.399394949,0.146048426
143.58,8.437263117,0.14650863
143.6,8.474421256,0.147008281
143.62,8.511816071,0.147383019
143.64,8.550473159,0.147711736
143.66,8.589603599,0.148053603
143.68,8.629207391,0.148566402
143.7,8.670625699,0.149013458
143.72,8.711886223,0.149375047
143.74,8.75243672,0.149762934
143.76,8.793145,0.15025601
143.78,8.832985469,0.150841127
143.8,8.873693749,0.151123824
143.82,8.915664302,0.151505136
143.84,8.957950423,0.151912746
143.86,8.998027568,0.152103402
143.88,9.039366985,0.152418971
143.9,9.078891885,0.152787135
143.92,9.116681162,0.153063257
143.94,9.152655922,0.153549759
143.96,9.18973517,0.154128302
143.98,9.226419959,0.154542486
144,9.265155939,0.155048711
144.02,9.303024108,0.15551549
144.04,9.342864577,0.155857356
144.06,9.38246837,0.156080884
144.08,9.420178755,0.156304412
144.1,9.456626868,0.15652794
144.12,9.495441741,0.156850083
144.14,9.533467694,0.157172226
144.16,9.571335863,0.157685026
144.18,9.611413009,0.158007169
144.2,9.651805723,0.158414778
144.22,9.691803977,0.158940726
144.24,9.731802231,0.159374634
144.26,9.77045932,0.159631033
144.28,9.810930927,0.160104386
144.3,9.851796993,0.160393658
144.32,9.891006327,0.160630334
144.34,9.9278489,0.160919606
144.36,9.965559286,0.161307493
144.38,10.00326967,0.161537595
144.4,10.04216344,0.161958353
144.42,10.08184612,0.162339666
144.44,10.12294887,0.162576342
144.46,10.16310491,0.162766998
144.48,10.20199867,0.16320748
144.5,10.23884125,0.163628238
144.52,10.27457933,0.163989827
144.54,10.31213193,0.164489478
144.56,10.35094681,0.164936534
144.58,10.38849941,0.165284974
144.6,10.42802431,0.165613692
144.62,10.47031044,0.165922686
144.64,10.51038759,0.16633687
144.66,10.54912357,0.16669846
144.68,10.58920072,0.167132367
144.7,10.6289623,0.167513679
144.72,10.66627822,0.167901566
144.74,10.70540867,0.168125094
144.76,10.74453911,0.168427514
144.78,10.78295953,0.168716785
144.8,10.82011767,0.16896661
144.82,10.85767027,0.169347923
